name,lat,lng,category,final_weight,rank,filled_rank
Himalayan Bank Limited,27.6744277,85.3691712,Bank,0.6413458633721323,19,19.0
Nabil Bank Limited Kaushaltar Branch,27.6746462,85.3666562,Bank,0.6833333333491667,20,20.0
Himalayan Bank Limited ATM,27.675465,85.397539,Bank,0.5000000000833333,2,2.0
Kumari Bank Limited,27.6799691,85.3992441,Bank,0.528516898332901,5,5.0
Sabya Samaj Multi purpose cooperative Ltd,27.67737,85.3977245,Bank,0.5174057872147529,6,6.0
NIC ASIA Bank Limited,27.6768947,85.3980488,Bank,0.5971957101345233,7,7.0
NIC ASIA Bank Radhe Radhe Branch,27.6754596,85.3975881,Bank,0.49888726868286,9,9.0
"Kamana Sewa Bikas Bank Ltd, Radhe Radhe Branch",27.6763452,85.3979254,Bank,0.5327143129126045,10,10.0
"Rastriya Banijya Bank, Thimi Branch",27.6731916,85.3873655,Bank,0.5125277494650969,14,14.0
Nabil Bank Limited Thimi Branch,27.6842048,85.3874096,Bank,0.3555555555762963,15,15.0
National Cooperative Bank,27.6735056,85.3854448,Bank,0.49395283926614747,19,19.0
Trishna Saving And Credit Co-Operative,27.681657,85.3915089,Bank,0.3472222222355324,24,24.0
Suryamukhi Saving And Credit Co-operative Ltd.,27.68296,85.3894706,Bank,0.34666666667946666,25,25.0
Citizens Bank Suryabinayak Branch,27.6653521,85.4263555,Bank,0.6430756463504042,2,2.0
Rastriya Banijya Bank,27.6651531,85.4278333,Bank,0.7133298810527494,3,3.0
Global IME Bank Limited,27.6659625,85.4247031,Bank,0.717035903117448,5,5.0
Prabhu Bank Limited,27.6659967,85.4234236,Bank,0.685425188883956,6,6.0
NIC ASIA Bank Bhaktapur Branch,27.6658125,85.4263281,Bank,0.6883945158326509,7,7.0
Nepal Bank Ltd. Kamalbinayak Bhaktapur Branch,27.6785223,85.4404204,Bank,0.6181113231983475,8,8.0
Nepal Investment Bank Limited,27.6651875,85.4256875,Bank,0.6874062734674068,9,9.0
Mega Bank Nepal,27.675171,85.4406628,Bank,0.45439309755842494,10,10.0
