name,lat,lng,category
Yaksheshwar Mahadev Temple (Pashupatinath Bhaktapur),27.6717975,85.4284498,Hindu temple
Mahadev temple,27.6720621,85.4338704,Hindu temple
Rameshwar Temple,27.672109,85.4275902,Hindu temple
Lapan Mahadev Temple,27.6719751,85.4286546,Hindu temple
Purveshwor Mahadev पूर्वेश्वर महादेव,27.6718948,85.428851,Hindu temple
Jagannath Temple,27.6726155,85.4299536,Hindu temple
तलातुंथी गणेश ध्यॊ छें,27.6733116,85.4361416,Hindu temple
Shree Mahakali Mandir,27.6758774,85.4313614,Hindu temple
Bhisindyoo Temple (Bhimsen Temple),27.673478,85.4347676,Hindu temple
Taleju Bhawani Temple Bhaktapur,27.6724803,85.4282575,Hindu temple
Salaan Ganesh Temple,27.6739136,85.4350911,Hindu temple
Laxmi Narayan Temple Dattatraya,27.673588,85.4350355,Hindu temple
Harihar Narayan Temple,27.6724687,85.4291017,Hindu temple
धनेश्वर महादेव मन्दिर,27.6739848,85.4353264,Hindu temple
Wane laayeku Temple (वाने लायकु चुको),27.6731226,85.435132,Hindu temple
Shija Mahadev Temple,27.6748214,85.4368333,Hindu temple
Taba Sattal (तबा सत्तल्),27.6719048,85.4289589,Hindu temple
Gachhen Narayan Temple,27.6747272,85.4362897,Hindu temple
Bhimsen temple,27.6724307,85.4314548,Hindu temple
Sundari Gopal Temple,27.6740094,85.4299246,Hindu temple
Saraswati Temple,27.6741054,85.433109,Hindu temple
Durupo dyo,27.6718817,85.4303839,Hindu temple
Bishnu Mandir,27.6725848,85.4323669,Hindu temple
Gopinath Krishna Temple,27.6721359,85.4275977,Hindu temple
Kedāranātha Temple,27.6720251,85.4278978,Hindu temple
Uma Maheshwar Temple,27.672453,85.4266146,Hindu temple
Bhokhadyo Temple भोखाद्य: मन्दिर,27.6740408,85.4355038,Hindu temple
Tocha Ganesh Temple,27.6740767,85.4372889,Hindu temple
"Swet bhairav,kwathandau",27.6750781,85.4348166,Hindu temple
सूर्य विनायक गणेश,27.6724983,85.4308599,Hindu temple
