name,lat,lng,category
Techcare Chip Level Repairing and Training Center,27.6698082,85.4105266,Training center
Sita Ram Tamakhu,27.6693527,85.4283605,Training center
Khwopa Fashion Instutute,27.666577,85.425133,Training center
"Suraj Naga, Lakolachhen",27.6693099,85.4284764,Training center
Saraswati English School,27.675735,85.4362819,Middle school
Students' Academy,27.6652974,85.4198732,Middle school
Image secondary school,27.6679048,85.4361339,Middle school
Ruby Valley School,27.6635041,85.4269349,Middle school
Little Garden English Secondary School,27.6581203,85.4121137,Middle school
Unity english secondary school,27.6623541,85.409234,Middle school
St johns English boarding school,27.6697355,85.4065883,Middle school
binodtamang,27.6575662,85.4259582,Middle school
Prowess Academy English Secondary School,27.667697,85.4380207,Middle school
Shree Ganesh Basic School,27.689543,85.4085753,Middle school
Tejaswee Pathshala,27.6699275,85.4097536,Middle school
"Dekocha, Bhaktpur",27.670994,85.4298429,Middle school
Gatthaghar,27.6709997,85.4298171,Middle school
First step Montessori,27.6605568,85.4385723,Preschool
"EuroKids, Suryabinayak",27.6635858,85.4356702,Preschool
We Kids School,27.6612573,85.4205433,Preschool
Morning Glory Kindergarten,27.6703865,85.4415235,Preschool
Child Heaven Pre-School,27.6691274,85.4247273,Preschool
Seraph World Pre - School,27.6708385,85.4221894,Preschool
Anshumali Pre-Primary School,27.6648316,85.4117597,Preschool
The Great Beginning Education Foundation (Pre School),27.6669158,85.4276983,Preschool
Shubharambha Pre School,27.6792107,85.4047827,Preschool
Kamal Binayak Kinder School,27.6781339,85.4375155,Preschool
Amarawati Modern Academy,27.6827505,85.4497263,Preschool
Smart kids Montessori,27.6948454,85.4402371,Preschool
Shree Bal Sewak Lower Sec. School,27.6693729,85.4339686,Preschool
Himalayan Glory English School,27.6738973,85.4242467,Preschool
Siddhartha Academy,27.6721087,85.4036271,Preschool
Shikchhyalaya Montessori,27.6909221,85.411736,Preschool
Wee Can Pre-School Bhaktapur-Nepal,27.6554638,85.4048932,Preschool
Lama Thanka Center,27.6713261,85.4277296,Drawing lessons
