name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,imageUrl,url
Gankhu kharibot chowk (गाँखु खरीबाेट चाेक),Park,Park,"M9QV+6MG, Gankhu Marg rajkulo road, Madhyapur Thimi 44811, Nepal",Madhyapur Thimi,27.6880666,85.3941968,5.0,1,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx1CPl9rK_BEggcLXJuun-Hw7EszYQscGjUtJ91H7AWiXdsXH_HihXUg_9M8SrZBA-QKGv6JHDLrSlVlIWZNiqNJLXaUxHclQnprbNQFKW4SgmnBnr0I1MD6iLz6dDqR2Owed6VNA=w408-h725-k-no,https://www.google.com/maps/search/?api=1&query=Gankhu%20kharibot%20chowk%20(%E0%A4%97%E0%A4%BE%E0%A4%81%E0%A4%96%E0%A5%81%20%E0%A4%96%E0%A4%B0%E0%A5%80%E0%A4%AC%E0%A4%BE%E0%A5%87%E0%A4%9F%20%E0%A4%9A%E0%A4%BE%E0%A5%87%E0%A4%95)&query_place_id=ChIJew5gESEb6zkRmqHUQ0OnEx8
Basipukhu Peace Park,Park,Park,"M9JM+JVM, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6815876,85.3846733,3.6,14,0,0,0,0,0,168.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxGG0W5suTuiGFXQa6Ji87mDEI6HC5-hYdes-Eqjo2Qixt_1ZOC7qtMewqgDr64hAG-LYMr3hxP9ndSrYoG6tzKgUYwOBFg47XG39vuoOyaJW4U785EYojjOIKI2Yow4YKBES0=w408-h549-k-no,https://www.google.com/maps/search/?api=1&query=Basipukhu%20Peace%20Park&query_place_id=ChIJWbCrYGga6zkRLonvWNCzvUk
Shankhadhar Park,Park,Park,"M9FP+69F Shankadhar Chowk, Araniko Highway, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6738091,85.3850039,4.1,37,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzUQ8lmdtZpFjTVSkxdaeZk1137a76OgMCoQQ5pcxWJs0S04RzsEH0dCPnjxbgoX58_tOo51_Z5XXfWrNXSlB3XBmPHGoDHg7g5nyqXrzKgXLqOwYdmuI9xkawJbik6QYIukB9a=w408-h305-k-no,https://www.google.com/maps/search/?api=1&query=Shankhadhar%20Park&query_place_id=ChIJ2WrSe2wb6zkR5ZKT4B7DH8E
Buddha Park Sanothimi,Park,Park,"M9JJ+R48, Bhaktapur Road, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6820433,85.3803174,5.0,1,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw7Bj6gG2FwxTuc5ttC_p3-xrVIwVFt1f-CdUYknthI0vqwIJyII4tSAp_1vX2f4Agq8oqoiZ9BRsZcsNrat9RklZxKGMxa9HWAVJWpH8jEiibjOfA5YJbainnNDCsqes5br3I=w408-h307-k-no,https://www.google.com/maps/search/?api=1&query=Buddha%20Park%20Sanothimi&query_place_id=ChIJB6dmQwAb6zkR6bi7JDpJGhs
Gaahiti Park,Park,Park,"M9MM+G5C, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.683824,85.3828911,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=v-ALR-VVIZWhPjMUkbHzSQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=206.38004&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Gaahiti%20Park&query_place_id=ChIJyVWhKAAb6zkRK1tsI-66qyE
Sanothimi Park,Park,Park,"M9JF+VPV, Bhaktapur Road, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6825845,85.3752232,0.0,0,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw5bxPfwEFpYY4cuH-N9k4DDIpP_fg9IkFIVNX3eEuL3M62PmrhO_XYgithXdKzPkh9lB4jPpKsT0HTi469rBZZgShRFveR5gGbJac49ZhleD8adRMpeL5ZoT8-h9LtSZhX3IRi=w408-h725-k-no,https://www.google.com/maps/search/?api=1&query=Sanothimi%20Park&query_place_id=ChIJ37FrbwAb6zkR1RTS95T7x9U
Bandevi park बन्देवी पार्क,Park,Park,"M9FP+J98, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6740442,85.3859618,4.0,3,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwexusmyLazzZpPEI_sNkajlhheSKsJlV_3svoV6jeFcJpp90uoBVkOervblwF--xALNkhXZXA0dHf0LfENmnUTdSgaeJJhkHzYRdZ5fJglYPj4rlNwq9VSLfmYhGjSPwzyC-rD=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Bandevi%20park%20%E0%A4%AC%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A5%87%E0%A4%B5%E0%A5%80%20%E0%A4%AA%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%95&query_place_id=ChIJgfpfP0Ib6zkRsF4xeZisQTo
Dakshin Barahi Park,Park,Park,"M99P+29Q, Anantalingeshwar, Nepal",Anantalingeshwar,27.6675878,85.3859708,4.3,72,0,0,0,0,0,168.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwwtzJhhdO5F7zNh3D4a-fpRn5qQqGsjZNY7s9OCDqV4jaAbdTs9TAKJnXrR1erq_lvoNF8tT6xLXxp960YjKTdT8jFjIxcdkHZcFvCn8zdJWrxPUPk6TxQuMZ05Esb8mq1u7FQ=w408-h545-k-no,https://www.google.com/maps/search/?api=1&query=Dakshin%20Barahi%20Park&query_place_id=ChIJdyjgY3ob6zkRap1vOgU2Eqo
Chundevi chagunarayan 9 pani tanki,Park,Park,"MF82+JRH, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,27.666571,85.4521208,0.0,0,0,0,0,0,0,0.0,,https://www.google.com/maps/search/?api=1&query=Chundevi%20chagunarayan%209%20pani%20tanki&query_place_id=ChIJ1cjUYQAF6zkRxRibKl71Tzo
Jorpati Park ️,Park,Park,"MF27+53F, Suryabinayak, Nepal",Suryabinayak,27.6507737,85.4623883,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cek-E8P4ehTGaDvMOlh6iw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=69.56514&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Jorpati%20Park%20%EF%B8%8F&query_place_id=ChIJd8U-QsAP6zkRtvEdYDXQuTI
