name,category,lat,lng,place_id
Bhaktapur Health Concern Pvt. LTD. (Kamalbinayak Branch),Medical clinic,27.6769675,85.4370704,ChIJdXY0rjMb6zkRq1YZ74AJPuQ
Kamalbinayak Polyclinic,Medical clinic,27.6769231,85.4367162,ChIJPw_Hr4IF6zkR_G8XJi7W1z8
Bhaktapur Model Clinic & Research Center Pvt. Ltd.,Medical clinic,27.6728285,85.4298454,ChIJ_XWjNK4a6zkRTuxQKz92QX4
लक्ष्मी ओप्टिकल,Hospital,27.6726633,85.4249792,ChIJbQAAOaUa6zkRRYgyygD4MTQ
National Eye Clinic Optical,Medical clinic,27.6769018,85.4371004,ChIJiV3txZkb6zkRuxnRmXYLJpA
Bhaktapur Homeopathic Medical College,Medical clinic,27.675947,85.435959,ChIJCccK-K0a6zkRs8FafsdKdI8
Bhaktapur Dental Home,Dental clinic,27.671946,85.429851,ChIJF7LXTK4a6zkRp13JENG1DQI
Bhaktapur Pharmacy,Pharmacy,27.6728707,85.4299399,ChIJIW5eM64a6zkRF5gbdKnE_ig
Rasu Pharmacy,Pharmacy,27.6717227,85.4239698,ChIJKZ-c76Qa6zkRyKkk9aipq7o
FOW-NEPAL Friends of Ostomates Worldwide-Nepal,Hospital equipment and supplies,27.6741634,85.4235578,ChIJ7bPG_fwb6zkR-Y9XGTuXOkI
Washa medicare pvt.ltd,Pharmacy,27.6736341,85.4229661,ChIJu7vdTQAb6zkRq7vzlcXqr4M
Nawadurga Dental Clinic | Dentist in Bhaktapur,Dental clinic,27.6756978,85.4372217,ChIJQXQYAKIb6zkRammxVNN4YmQ
Dr. Iwamura Memorial Hospital (DRIM HOSPITAL),Private hospital,27.6724669,85.4118049,ChIJm-JxHZoa6zkRtWVwj5yVmDQ
Bhaktapur City Medical Centre,Medical clinic,27.6737487,85.4290772,ChIJK29L2K8a6zkRAvgLXRK4M4Q
Bramhayeni Polyclinic & Pharmacy,Medical clinic,27.6752631,85.4300374,ChIJeR37wsQF6zkRKjKRrKPHiuw
General Clinic,Medical clinic,27.6741301,85.4282081,ChIJ4x2kHrAa6zkRKEoqFin1LgY
Shakya Clinic शाक्य क्लिनिक,Pharmacy,27.671883,85.4344014,ChIJ_YRWrq0a6zkReRL0aBOkbhI
Khwopa Pharmacy and Clinic (खोपो फार्मेसी एन्ड क्लिनिक),Medical clinic,27.6768323,85.437144,ChIJ5V0Hzpgb6zkRFYPw6J5I2a8
Siddha pokhari clinic,Medical clinic,27.671608,85.4218439,ChIJcV0TY6Ma6zkRvBZx9N3kRko
HPN Clinic,Medical clinic,27.6659564,85.4247077,ChIJR9NOoHkb6zkR06T5IPnExRk
Health Clinic Operated By Siddhi Ganesh Saving And Cooperative Pvt. Ltd,Medical clinic,27.670125,85.434178,ChIJ1bSJRKwa6zkR1bu-Uv1SCyw
Siddhi Poli Clinic,Medical clinic,27.6701445,85.4341977,ChIJb73tRKwa6zkRDIuvmLdtjLw
SEWAA DENTAL HOME,Dental clinic,27.6713143,85.422301,ChIJD0CIFQAb6zkReJZN_JiXsT4
Milestone Health Clinic,Medical clinic,27.6735488,85.4401733,ChIJHRvXyVEF6zkRR7Cnh-ncR50
Dental World Clinic,Dental clinic,27.6674267,85.4261986,ChIJaZpalGsb6zkRH7LMWnJpnE8
Bhaktapur polyclinic,Medical clinic,27.6719342,85.422781,ChIJu3d9zDEb6zkRIKwgw5gAeFA
Unipath Bhaktapur,Medical clinic,27.672291,85.4241316,ChIJl3Zc0yhSQ2sRJUkOWM9N7f8
Indrayani dental home Pvt. Ltd.,Dental clinic,27.6727561,85.4243765,ChIJrVjUM-Ab6zkRiGwBBPHoITw
"Total Care Dental Clinic, Chyamasingh - 8, Bhaktapur",Dental clinic,27.6720858,85.4383593,ChIJV0Wy0Twb6zkRRez6HD7dNQo
Prime dental clinic pvt.ltd,Dental clinic,27.6716249,85.4218072,ChIJVT4aY6Ma6zkRdMGXxq2HNBU
Premier Dental Bhaktapur,Dental clinic,27.667254,85.4260352,ChIJid86VQAb6zkRY3nZl8BmlCs
Rose Dental Care Private Limited,Dental clinic,27.6717214,85.4221394,ChIJdyWanaQa6zkR1S1cVldQ4sc
Anjal Dental Clinic,Dental clinic,27.6777758,85.4378766,ChIJKQpGOecF6zkRGyb8gquR4oQ
Nova Smile Care Dental Suryabinayak branch,Dental clinic,27.6655064,85.4249108,ChIJo70EcqMb6zkRZ2COUtMwZFc
"Total Care Dental Clinic ,Jagati -8 Bhaktapur",Dental clinic,27.6661943,85.4374087,ChIJrRM6ED0F6zkRzTjm3cesVXM
Smile Tech Dental clinic,Dental clinic,27.6736352,85.4395347,ChIJSQYbNgAF6zkRpx50a6h104A
Suryavinayak Dental Care,Dental clinic,27.6654943,85.4248763,ChIJwejuVqYa6zkRkL5bz236F7Q
"Dentocare Nepal Dental Clinic, Kamalbinayak branch",Dental clinic,27.6777323,85.437725,ChIJZYWGfccF6zkRIbppuQ4VDL0
Mediland dental clinic,Dental clinic,27.6778279,85.4386946,ChIJcTtKu6IF6zkRf5T1Ja2-TkU
Human Organ Transplant Centre (Shahid Dharma Bhakta Hospital),Hospital,27.6727526,85.4219096,ChIJMSrsWaMa6zkR8Q9vJt1c1e0
Dr.Lalpathlabs CC Bhaktapur,Hospital,27.6732109,85.4227645,ChIJ9V2zkoUb6zkRdBsk6DBdTTQ
Bhaktapur Cancer Hospital: Dr. Bishnu Shrestha,Pain management physician,27.6731991,85.4223223,ChIJCU90kEHp6SgRLMQUqWmnRIA
Janta Clinic Pathology,Hospital,27.6709939,85.4298429,ChIJh6mjnxIb6zkRzMEDzlI0ASY
Jiwanta Pharmacy,Pharmacy,27.6714716,85.4239454,ChIJda2nNLUb6zkRdLXxQOtkoQo
एक्युपर्‍ेसर अकुपंचर तथा फिजियोथेरापी क्लिनिक,Acupuncture clinic,27.6712283,85.4205901,ChIJCW-6DaMa6zkRZLvDD9hu_PI
"Nirvana Physiotherapy & Wellness Center, Bhaktapur | Ayurvedic Therapy | Osteopathy | Naturopathy",Physical therapy clinic,27.6644186,85.425808,ChIJTabKen8b6zkR3EL7qQ6MFwY
Healt and fitness tips,Self service health station,27.6738729,85.4272013,ChIJIWrW5BYb6zkR8rMsgTyTFbE
Well Health Care,Medical clinic,27.6703492,85.4105663,ChIJ6W9Ajmb79AcRkBokVoinoEE
Siddhita Health Care Pvt. Ltd.,Orthopedic clinic,27.6691695,85.4251125,ChIJhUGQCQAb6zkRG2HwA-wkKiw
Khowpa Pharmacy,Pharmacy,27.6736013,85.4314594,ChIJkwXnG64a6zkRX-yzq3gbcmo
HARSHA Pharmacy,Pharmacy,27.6765265,85.4259907,ChIJycaVSvQb6zkRZHr5oxMYmjE
Yatu Pharmacy,Pharmacy,27.677392,85.4369141,ChIJjZ9OGAAb6zkR1H-BPpU2dAc
Garudkunda Pharmacy,Pharmacy,27.6746155,85.4372728,ChIJ_QNJB68b6zkR1u4mcPGt4kw
Puspa Curd Factory,Health food store,27.6729058,85.4296225,ChIJy7BjzK8a6zkRtPwnHL6QHpo
R. K. Optics,Pharmacy,27.6751989,85.4258357,ChIJv2A4wLoa6zkR-bnCrl5KNiQ
Jhingu Wasa Pasa Pharmacy,Pharmacy,27.6761835,85.4321444,ChIJD70W7k0b6zkR0Pl6MS_Mh44
Kamal Medical Store,Pharmacy,27.6759139,85.4336404,ChIJg19XP7Ia6zkRWnxwDbwu-YY
Bhaisharjya Medical Shop,Pharmacy,27.6716884,85.434046,ChIJ4_n6sK0a6zkRXgSz_kj7SC0
Sayara pharmacy,Pharmacy,27.674766,85.4273979,ChIJHb2aQAAb6zkRbdJUZacm9bs
SARON PHARMACY,Pharmacy,27.6708602,85.425519,ChIJDWZxCAAb6zkRIOR4KoHnXC0
Hello Janaswasthya Pharmacy,Pharmacy,27.677386,85.4367695,ChIJ-WFFJrMa6zkRqxqSDSJ2u_0
barahi pharmacy,Pharmacy,27.6716672,85.4219854,ChIJa3GKYqMa6zkRdc8qqU7PTYQ
Laxmi Vet Pharma,Veterinary pharmacy,27.6725839,85.4322696,ChIJ_3XQmtob6zkR5dLGDaTeswE
Na Pukhu Pharmacy,Pharmacy,27.6717223,85.4220844,ChIJIZikLgAb6zkRcrmWiUGdmD4
Oriental Pharmacy & Optical Center,Pharmacy,27.670447,85.428811,ChIJt54yDK8a6zkR8CVNKvfJ6Hg
Doleshwor Pharmacy,Pharmacy,27.671696,85.422078,ChIJP3B_YqMa6zkR4sSEDakwZ9E
Kamal Vinayak Pharmacy,Pharmacy,27.67742,85.436839,ChIJmcumKLMa6zkRlcjzDWiB8Zc
