category,name,lat,lon,haversine_km,road_km,base_weight_haversine,decayed_weight_haversine,base_weight_road,decayed_weight_road
cafe_final,कान्तिपुर गेष्ट हाउस एण्ड रेष्टुरेन्ट,27.6712727,85.4207497,0.22378182378879777,0.24932895625720589,0.254061,0.203119,0.168903,0.13163
banks_final,Agricultural Development Bank Ltd. Bhaktapur Branch,27.6719441,85.4227128,0.06906478151818123,0.12357350290599929,0.769784,0.718413,0.588088,0.519727
banks_final,Kumari Bank (Ittachhen-Napukhu Bhaktapur Branch),27.672056,85.4232274,0.08841982914785948,0.16123570976377807,0.705267,0.645585,0.462548,0.39367
banks_final,Nepal Bank Limited,27.6715784,85.4223191,0.10865140612727209,0.1231035728940279,0.637829,0.57216,0.589655,0.521356
education_final,Gyan Sagar Education Academy,27.6714898,85.4222332,0.12002894439935052,0.14265301770082003,0.599904,0.532051,0.52449,0.454762
education_final,Specialty Barista Training (SBT),27.6713414,85.4212691,0.18115299865381904,0.20132925158952147,0.396157,0.330517,0.328902,0.268925
education_final,Pioneer Training Centre,27.6734435,85.4244025,0.21128611207358308,0.38565358030172264,0.295713,0.239392,,
education_final,Seraph World Pre - School,27.6708385,85.4221894,0.19189593496439994,0.20822807160833753,0.360347,0.297428,0.305906,0.248403
education_final,Himalayan Glory English School,27.6738973,85.4242467,0.227725194737767,0.3274191516695111,0.240916,0.191852,,
education_final,जाेरपाटी माध्यमिक विद्यालय,27.6723979,85.4228803,0.03929052138756721,0.15289998046950778,0.869032,0.835549,0.490333,0.420812
education_final,NR.Secondary School,27.6704694,85.4217939,0.24094236792695217,0.32353519643077583,0.196859,0.154709,,
education_final,Pentagon Open School,27.6705774,85.4218015,0.2292635379995032,0.33080814046670204,0.235788,0.18748,,
education_final,Future Star English School,27.6712289,85.4245736,0.2497019454777743,0.4201453452409366,0.16766,0.130613,,
education_final,manisundara library,27.6710207,85.42326,0.18418101776518778,0.27895557226550177,0.386063,0.321122,0.070148,0.053072
health_final,Rasu Pharmacy,27.6717227,85.4239698,0.1696570914355875,0.2799608800244945,0.434476,0.366678,0.066797,0.050486
health_final,Washa medicare pvt.ltd,27.6736341,85.4229661,0.1295148689009183,0.16519631704294901,0.568284,0.49925,0.449346,0.380923
