name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,wifi,dine_in,takeout,delivery,breakfast,lunch,dinner,vegetarian,coffee,alcohol,beer,casual,family_friendly,tourists,reservations,cash_only,wheelchair_accessible_entrance,source_file
Chowyela baji chhe,Fast food restaurant,Fast food restaurant,"M9FF+CWH, Araniko Highway, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6735409,85.3748279,3.5,22,3,5,1,5,3.5,77,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Choya Food Land,Restaurant,Restaurant,"Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.6899028,85.382321,3,2,0,1,1,0,0,84,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,
Chula dhunga sekuwa,Family restaurant,Family restaurant,"M9JR+V6F, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6826062,85.3909841,4.1,30,0,0,12,4,4.1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chulo dhungo sekuwa,Bed & breakfast,Bed & breakfast,"M9MR+5CP, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6829235,85.3910858,4.4,10,0,2,0,0,4.4,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chusky's,Restaurant,Restaurant,"JCRP+X5G, Suryabinayak, Nepal",Suryabinayak,27.6423538,85.4354595,4.2,71,0,0,11,38,22,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Chwassa Jhol Momo,Kadaghari",Momo restaurant,Momo restaurant,"Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.695556,85.3737381,3.7,21,1,3,1,13,3.7,73.5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
Chyamasing,Bakery,Bakery,"MFP5+J7M, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,27.6865852,85.4581859,4.3,13,1,0,0,5,4.3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chyasha cafe,Cafe,Cafe,"Kamalbinayak, Bhaktapur 44800, Nepal",Bhaktapur,27.6763231,85.4398356,3.7,3,0,0,1,2,0,98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Cin Cin Garden,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6706505,85.4218284,1,1,1,0,0,0,0,94.5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,
Classic Burger & Stick Food Service,Restaurant,Restaurant,"MC9H+Q59, Bhaktapur 44800, Nepal",Bhaktapur,27.6694417,85.428121,5,1,0,0,0,0,1,77,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
Classic fast food hub,Cafe,Cafe,"MCM6+3C4 kmc chok, Changunarayan 44800, Nepal",Changunarayan,27.6826303,85.411082,3.1,29,10,1,4,5,3.1,84,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,
classic hukka&bar,Family restaurant,Family restaurant,"P92G+488, Kathmandu 44600, Nepal",Kathmandu,27.7002897,85.3758325,3.5,23,3,4,0,11,3.5,91,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Cocktail newari khaja ghar and sekuwa corner,Family restaurant,Family restaurant,"Thimi 5, near Brighter Beside Hyundai bhaktapur, Nearby tata bhaktapur, Madhyapur Thimi 5, Nepal",Madhyapur Thimi,27.677634,85.3914002,3.2,30,5,3,6,14,3.2,32,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,
COFEE SHOP,Coffee shop,Coffee shop,"MCF5+W8Q, Bhaktapur 44800, Nepal",Bhaktapur,27.674848,85.4084642,4.5,2,0,0,0,1,1,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Coffee Break,Cafe,Cafe,"Tibukchhen Tol, Bhaktapur 44800, Nepal",Bhaktapur,27.6718026,85.4305635,5,3,0,0,0,1,2,84,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Coffee Cafe & Burger House,Restaurant,Restaurant,"M9F8+RRM, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6745872,85.3670569,3.2,17,5,1,0,8,3.2,103.25,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,
Coffee Corner,Coffee shop,Coffee shop,"Bhaktapur Road, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.6826986,85.3871536,4.4,23,0,0,2,11,10,105,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,
Coffee in Style,Cafe,Cafe,"kwachhe tole 5, 44800, Nepal",Bhaktapur,27.6713463,85.4300451,3.9,80,0,2,21,43,14,91,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,
Coffee Klatch,Coffee shop,Coffee shop,"12 Rammandir Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6700445,85.4282604,3.8,13,0,0,4,7,2,91,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,
Coffee land,Coffee shop,Coffee shop,"Suryabinayak chok, Araniko Highway, Suryabinayak 44800, Nepal",Suryabinayak,27.6655004,85.4251129,4,5,0,0,1,3,1,101.5,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,
Coffee shop,Cafe,Cafe,"M9JX+382, Bhaktapur Road, Madhyapur Thimi 44811, Nepal",Madhyapur Thimi,27.6801375,85.3982656,3.7,3,0,0,1,2,0,87.5,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Coffee Square,Cafe,Cafe,"MCFG+5GX, Bhaktapur 44800, Nepal",Bhaktapur,27.6729764,85.4263687,3,2,0,1,1,0,0,77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Coffee Station,Coffee shop,Coffee shop,"M9CQ+R44, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.672022,85.3878259,4,11,0,2,2,1,4,105,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
CoffeeStation&Bakery,Coffee shop,Coffee shop,"MC8F+6Q3, Suryabinayak 44800, Nepal",Suryabinayak,27.6654581,85.4243362,3,2,0,1,1,0,0,77,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Combo kitchen,Restaurant,Restaurant,"M9FP+7VQ, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6732686,85.3872661,3.7,28,0,0,16,5,3.7,84,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
Community at The Nanee,Restaurant,Restaurant,"Itachhen 2, Bhaktapur, Nepal",Bhaktapur,27.6727094,85.4258379,5,2,0,0,0,1,1,108.5,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,
Cookie Jar Bakery And Cafe,Bakery,Bakery,"Dakshin Bahari Mandir, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6679632,85.38619,1,1,1,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Corner and black pigs barbecues Dharan,Barbecue restaurant,Barbecue restaurant,"M9FF+Q9G, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6745692,85.3735235,3.2,11,0,4,4,0,3.2,70,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,
Cosy Cafe,Coffee shop,Coffee shop,"12 Rammandir Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6700737,85.4283216,4.6,23,0,0,1,10,12,144,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,
Cozy Food Cafe (CFC),Restaurant,Restaurant,"M9CQ+P5J, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.671833,85.3878811,3.2,28,3,5,11,2,3.2,91,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,
CR7 chiya ghar,Cafe,Cafe,"M97C+WP8, Suriyaviynak-2, Anantalingeshwar 44600, Nepal",Anantalingeshwar,27.6647937,85.3718426,3.1,12,1,5,1,2,3.1,84,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Crave Corner,Asian restaurant,Asian restaurant,"MCC5+4R7, Suryabinayak 44800, Nepal",Suryabinayak,27.6704538,85.409407,5,1,0,0,0,0,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cream Cakes and Bakery,Bakery,Bakery,"F099, Suryabinayak 44800, Nepal",Suryabinayak,27.6587274,85.4236834,5,1,0,0,0,0,1,90,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Creative Burger & Pasta House,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.672397,85.4051819,5,1,0,0,0,0,1,98,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,
Crossroad khajaghar,Bar,Bar,"4 Thimi, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6778495,85.3834804,3.8,24,0,0,11,8,3.8,105,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
CULTURE CAFE & BAR,Nepalese restaurant,Nepalese restaurant,"Pottery Square, Bhaktapur 44800, Nepal",Bhaktapur,27.6699487,85.4277691,4.1,15,0,0,3,8,4,98,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,
D Ace Cafe,Fast food restaurant,Fast food restaurant,"Srijana tol, Kathmandu 44600, Nepal",Kathmandu,27.7103511,85.4027442,3.5,13,3,0,1,6,3.5,106,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
D icon Restaurant,Bar,Bar,"Bhaktapur 44800, Nepal",Bhaktapur,27.6723776,85.4384499,4.7,3,0,0,0,1,2,98,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,
D' Redo House,Restaurant,Restaurant,"Unnamed Road, Kathmandu 44600, Nepal",Kageshwori Manohara,27.6967766,85.3796056,3.2,29,6,4,6,5,3.2,77,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,
D'Ja Cafe & Sports Bar with Rooftop Restaurant,Sports bar,Sports bar,"MCCJ+Q2G, Bhaktapur 44800, Nepal",Bhaktapur,27.6719349,85.4300687,4.7,9,0,0,0,4,5,84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
D&R Fast Food,Fast food restaurant,Fast food restaurant,"Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6674076,85.4358847,4.5,77,0,0,6,36,35,94.5,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,
🔪,Breakfast restaurant,Breakfast restaurant,"Anantalingeshwar 44600, Nepal",Anantalingeshwar,27.6638406,85.3673292,4.2,16,0,3,1,2,4.2,70,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
DAAMI Cafe,Coffee shop,Coffee shop,"MC9H+M64, Rammandir Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6691297,85.4280708,4.2,53,0,0,8,28,17,63,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
