name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,wifi,dine_in,takeout,delivery,breakfast,lunch,dinner,vegetarian,coffee,alcohol,beer,casual,family_friendly,tourists,reservations,cash_only,wheelchair_accessible_entrance,source_file
.....,Fast food restaurant,Fast food restaurant,"M9FP+95P, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6735042,85.3854631,4.4,20,0,0,3,6,4.4,70,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,
1-shika café and Chat house,Coffee shop,Coffee shop,"1-shika cafe and Chat house, Bhaktapur 44600, Nepal",Bhaktapur,27.6813874,85.376168,4.4,7,0,0,1,3,3,98,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
12 Shutter,Restaurant,Restaurant,"M9XG+CPX, Kathmandu 44600, Nepal",Kathmandu,27.6962121,85.3769261,4.2,20,0,5,1,0,4.2,77,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,
"12sutar chok,Deepa",Coffee shop,Coffee shop,"M9WH+W35, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.6976597,85.3777113,4.1,21,0,3,4,2,4.1,91,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
"1990s laphing,dhara",Restaurant,Restaurant,"MCCQ+Q92, Garud Kundal Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6718977,85.438394,5,1,0,0,0,0,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3 R khaja ghar,Fast food restaurant,Fast food restaurant,"M9FV+MWH, Bhaktapur, Nepal",Bhaktapur,27.6741774,85.3948623,3.7,18,2,1,5,3,3.7,101.5,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,
3rd eyes fast food,Restaurant,Restaurant,"MC8G+MR6 Bhulancha, Suryabinayak 44800, Nepal",Suryabinayak,27.6666523,85.4270263,5,1,0,0,0,0,1,84,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
5I Restaurant,Family restaurant,Family restaurant,"MCM6+Q9F, Rudraksha Rd, Changunarayan, Nepal",Changunarayan,27.6844567,85.4109168,5,3,0,0,0,1,2,72,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,
6/9 Khaja Ghar,Fast food restaurant,Fast food restaurant,"M9HP+9G9, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6784061,85.3863721,4.1,17,0,0,5,6,4.1,105,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,
90's Cafe,Coffee shop,Coffee shop,"M9FQ+MXM, Bhaktapur, Nepal",Bhaktapur,27.6742191,85.3899348,3.7,70,0,3,24,35,8,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
A One Liquor Shop,Bar,Bar,"Dhara chowk, Bhaktapur 44800, Nepal",Bhaktapur,27.6712166,85.4378953,5,1,0,0,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A-One Fast Food & Chaat Center,Family restaurant,Family restaurant,"MC9H+G6V, Rammandir Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6688119,85.4279565,5,9,0,0,0,3,6,77,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
A.G LIQUOR SHOP,Bar,Bar,"M9GX+62R Bhat bhateni superstore, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6756092,85.3975034,3.3,22,0,5,11,1,3.3,70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
अन्जना खाजा घर,Fast food restaurant,Fast food restaurant,"Maha manjushree, marga 44800, Nepal",marga,27.6861323,85.4774943,3.1,14,0,7,0,6,3.1,94.5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,
श्याम चिया पसल,Coffee shop,Coffee shop,"MCGM+C28, Bhaktapur 44800, Nepal",Bhaktapur,27.6760317,85.4325788,3.9,587,0,12,153,315,107,98,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
न्यू सुर्यबिनायक अमिलो एण्ड कुल्फी शप,Dessert shop,Dessert shop,"गपली मार्ग, Suryabinayak 44800, Nepal",Suryabinayak,27.666363,85.425524,3.1,13,2,4,1,3,3.1,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
नेवा खाजा घर,Restaurant,Restaurant,"M9HW+2GQ, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6776203,85.3965558,3.1,24,6,3,3,7,3.1,105,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
सिध्दिलक्ष्मी मिठाई भण्डार,Vegetarian restaurant,Vegetarian restaurant,"100 Araniko Highway, Suryabinayak 44800, Nepal",Suryabinayak,27.6649522,85.4256451,3.4,38,0,3,18,15,2,98,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,
सानाे ठाउँमा सानो व्यवसाय,Restaurant,Restaurant,"MFPH+8QV, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,27.6858742,85.4794353,3.5,28,1,0,14,11,3.5,168,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,
साइलाको पसल,Coffee shop,Coffee shop,"MFPM+Q4C, Nagarkot Road, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,27.6869412,85.4827798,4.2,28,0,1,8,4,4.2,70,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
सुशीलाको भान्सा,Cafe,Cafe,"Changunarayan 44600, Nepal",Changunarayan,27.7095992,85.4149886,3.6,15,0,2,3,9,3.6,92,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,
रोज खाना तथा खाजा घर,Restaurant,Restaurant,"Madhyapur-Thimi Municipality, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6896582,85.3910851,3.4,29,0,6,9,11,3.4,105,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,
रेष्मा खाजा पसल,Bed & breakfast,Bed & breakfast,"M9FC+P7X, Araniko Highway, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6743633,85.3707449,3.8,28,1,2,6,13,3.8,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
महिम क्याफे,Cafe,Cafe,"M9JP+2HH, Tahanani Road, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.680051,85.386488,3.2,20,3,6,1,4,3.2,98,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,
मङली को पसल,Tea store,Tea store,"PC37+7PR, Changunarayan 44600, Nepal",Changunarayan,27.7032375,85.4142656,3.3,14,2,2,3,4,3.3,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
बर्गर हाउस,Cafe,Cafe,"MCFG+38P, Bhaktapur 44800, Nepal",Bhaktapur,27.6727151,85.4258303,5,1,0,0,0,0,1,77,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,
बालकाेट मिठाई भण्डार,Fast food restaurant,Fast food restaurant,"M988+5GX, Anantalingeshwar 44600, Nepal",Anantalingeshwar,27.6654964,85.3663677,3.4,13,0,5,1,4,3.4,105,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
बालकुमारी खाजा घर,Restaurant,Restaurant,"Unnamed Road, Mahamanjushree, Nepal",Mahamanjushree,27.6794027,85.4758049,4.4,13,0,1,0,5,4.4,77,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,
बुडाथोंकी तास एंड छोइला हाउस,Nepalese restaurant,Nepalese restaurant,"M9FF+V3C, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.674678,85.3726167,3.5,11,0,3,1,6,3.5,108.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
तारा दाईको डुनट पसल,Breakfast restaurant,Breakfast restaurant,"MC9M+366, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6676619,85.4330136,5,2,0,0,0,1,1,91,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,
हाइवे खाजा घर,Fast food restaurant,Fast food restaurant,"MC6W+G6G, Bhatey Dhikoor Bus Stop, वाचामरी भाते-ढिकूर, Araniko Highway, Bhaktapur, Nepal",Bhaktapur,27.6613064,85.4455643,5,1,0,0,0,0,1,87.5,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,
ऊँ जय श्री दुर्गे स्वीट एण्ड चाट हाउस,Dessert shop,Dessert shop,"M9MP+5W8, Bahakha Bazar, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.682907,85.3873189,4,19,2,1,2,4,4,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
भि,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6738307,85.4097828,5,1,0,0,0,0,1,80.5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
चिया Guff,Coffee shop,Coffee shop,"M9QQ+4G7, Madhyapur Thimi 44811, Nepal",Madhyapur Thimi,27.687779,85.3887828,5,1,0,0,0,0,1,70,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
चिया Times,Coffee shop,Coffee shop,"MCM6+PJH, Sallaghari- Duwakot Rd, Changunarayan, Nepal",Changunarayan,27.6843016,85.4116201,4.3,18,0,2,1,5,4.3,168,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
चिया- chhey,Family restaurant,Family restaurant,"M9HW+6JJ, 3 Sangameshwor Marg, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.677701,85.3959463,4,83,0,1,19,45,18,168,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
जनकपुरीया स्वीटस्,Dessert shop,Dessert shop,"M9F8+W44, कैलाशटार मार्ग, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6747613,85.3653239,4,25,1,0,1,20,4,105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
इन्द कमल लिक्वेर शप,Bar,Bar,"M9HX+XP9, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.67991,85.3993464,3.1,12,1,5,1,2,3.1,91,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
चाट हाउस 111,Fast food restaurant,Fast food restaurant,"M9FF+JHW, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6741078,85.3739408,3.1,30,6,3,9,7,3.1,98,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
कान्तिपुर गेष्ट हाउस एण्ड रेष्टुरेन्ट,Hong Kong style fast food restaurant,Hong Kong style fast food restaurant,"Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6712727,85.4207497,3.2,22,0,3,11,7,1,168,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,
कार्कि दाई स्वादिष्ट सान्दार झोल म:म: Karki Dai Sandar momo,Momo restaurant,Momo restaurant,"M9WG+9MQ, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.6959724,85.3767325,4,27,0,5,6,1,4,105,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
भू. पु. सैनिक खाजा घर एण्ड सेकुवा कर्नर,Restaurant,Restaurant,"JFWC+844, Araniko Highway, Suryabinayak, Nepal",Suryabinayak,27.6457577,85.4703245,4.3,29,0,5,0,6,4.3,77,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,
गेट टुगेदर फ्यामिली रेस्टुरेन्ट,Restaurant,Restaurant,"M9F8+V95, Araniko Highway, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6746368,85.3659858,3.8,29,0,6,4,10,3.8,77,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,
जोशी म:म: सेन्टर,Restaurant,Restaurant,"M9GX+C7M, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6760932,85.3981691,3.9,21,0,3,5,5,3.9,63,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,
प्रदीप jack tea shop,Coffee shop,Coffee shop,"MFPF+7FQ, Nagarkot Road, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,27.6857203,85.4737355,4.1,11,1,0,1,4,4.1,98,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
A1 mo:mo: newari khaja ghar,Fast food restaurant,Fast food restaurant,"M9WC+36G, Kathmandu 44600, Nepal",Kathmandu,27.6951836,85.3705747,3.6,20,1,3,5,5,3.6,63,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
A2 Matka Chiya and Fastfood,Restaurant,Restaurant,"Shakhadhar chowk(way to law campus, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6714348,85.3859299,3,2,0,1,1,0,0,82,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,
Aaल waypoing restaurant and bar,Restaurant,Restaurant,"Anantalingeshwar, Nepal",Anantalingeshwar,27.6443198,85.4101158,3.4,14,0,1,10,0,3.4,81,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,
Aabsar khaja ghar,Restaurant,Restaurant,"MFW7+9M7 Subidhanagar Bus Stand, Subidhanagar Rd, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,27.695915,85.4641851,3.1,12,2,1,5,2,3.1,70,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,
Aadhya's Bakery,Bakery,Bakery,"Madhyapur Thimi-05, Kamerotar, Bhaktapur 44800, Nepal",Bhaktapur,27.6768654,85.3919935,3.9,28,0,0,8,16,3.9,98,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
Aaditya Paanipuri ChanaChatpat & Cold Drinks,Restaurant,Restaurant,"MCCJ+59W, Bhaktapur 44800, Nepal",Bhaktapur,27.6703549,85.4310597,4.2,35,0,0,5,19,11,77,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Aafno chotu panipuri and dahipuri,Pub,Pub,"M9GF+4RV, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6753687,85.3745365,4.3,3,0,0,0,2,1,84,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
Aageno Sekuwa Ghar,Barbecue restaurant,Barbecue restaurant,"M9FF+9Q3, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6733981,85.3743297,4.4,24,1,0,1,9,4.4,105,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,
Aago Pani Authentic Nepali Cuisine,Restaurant,Restaurant,"M9G8+994, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6758263,85.3658754,3.5,23,0,8,2,7,3.5,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aagya wine and dine,Restaurant,Restaurant,"MC7F+6JQ, Suryabinayak 44800, Nepal",Suryabinayak,27.6630991,85.4240961,4.3,24,0,0,3,12,9,84,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,
Aakash sweets and chat house,Vegetarian restaurant,Vegetarian restaurant,"M9C7+PV9, Anantalingeshwar 44600, Nepal",Anantalingeshwar,27.67178,85.3647074,3.8,26,0,1,8,13,4,80.5,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,
Aakrisha Thapa' Wine Shop,Bar,Bar,"Jhingatighar Rd, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.7008293,85.3807701,3.4,17,0,3,6,7,3.4,91,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
Aalucha,Fast food restaurant,Fast food restaurant,"Durbar Square, Bhaktapur 44800, Nepal",Bhaktapur,27.6715487,85.4283565,4.8,13,0,0,0,5,8,98,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,
Aama ko Pasal,Coffee shop,Coffee shop,"M9CH+M5F, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6717122,85.3780744,3.5,23,0,4,6,11,3.5,70,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Aamako Bara Pasal,Restaurant,Restaurant,"12 Rammandir Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6719045,85.4294079,3.2,86,1,13,44,26,2,63,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,
Aananda Baba Cafe,Children's cafe,Children's cafe,"M97M+3WH, Anantalingeshwar, Nepal",Anantalingeshwar,27.6626943,85.3848553,3.8,25,1,1,3,18,3.8,91.5,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,
Aangeno Restaurent and Sekuwa Thalo,Restaurant,Restaurant,"Anantalingeshwar 44600, Nepal",Anantalingeshwar,27.6679847,85.3652219,4.4,10,0,0,1,4,4.4,87.5,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,
Aankhijhyal Restaurant and Lounge,Bar,Bar,"M9GX+W9F, Radhe Radhe, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6773192,85.3984238,4.4,28,0,0,6,6,4.4,70,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,
Aarati Restaurant,Restaurant,Restaurant,"M9GX+55G, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6754327,85.3979407,4.1,26,1,0,7,6,4.1,98,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,
Aarogya Bakery,Bakery,Bakery,"Naya thimi,shankhadhar chowk, Bhaktapur 44800, Nepal",Bhaktapur,27.6730941,85.3863255,4.1,18,0,2,2,7,4.1,98,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aaunty ko chiya pasal,Cafe,Cafe,"M9GH+J37, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.67656,85.377639,3.4,15,1,1,6,5,3.4,63,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Aaunus khanus tass and sekuwa,Restaurant,Restaurant,"3 Sangameshwor Marg, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6773125,85.3979531,3.9,14,1,3,0,3,3.9,91,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,
Aayan’s cafe and fastfood,Coffee shop,Coffee shop,"MCFJ+9FC, Tuchhimala Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6734265,85.4311372,5,8,0,0,0,2,6,84,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Aaylaa Garden Resturant,Restaurant,Restaurant,"Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6768247,85.3752789,4.5,2,0,0,0,1,1,98,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,
ABA Fast Food Cafe,Restaurant,Restaurant,"M9FJ+7J7 Tuberculosis Hospital Bus Stop, Araniko Highway, Madhyapur Thimi 44811, Nepal",Madhyapur Thimi,27.6731697,85.3815567,4.1,12,0,0,3,5,4.1,112,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,
Abc Cafe,Cafe,Cafe,"MC93+HXH, Suryabinayak 44800, Nepal",Suryabinayak,27.6689225,85.4049667,4.8,6,0,0,0,2,4,105,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Abhiyan dairy,Bakery,Bakery,"Kathmandu 44600, Nepal",Kathmandu,27.7002138,85.3655298,3.8,19,2,2,3,3,3.8,168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Abi Khaja Ghar And Fastfood,Restaurant,Restaurant,"Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6729471,85.3906084,4.4,20,1,0,0,8,4.4,98,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Abyss home,Coffee shop,Coffee shop,"M97H+5C7, Anantalingeshwar, Nepal",Anantalingeshwar,27.6629221,85.3785616,3.3,18,2,3,3,8,3.3,63,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
AD-hose,Coffee shop,Coffee shop,"Bhaktapur, Nepal",Bhaktapur,27.6692427,85.4052233,4.9,7,0,0,0,2,5,77,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Adhikari pani puri and chatpat center,Fast food restaurant,Fast food restaurant,"M99P+Q9H, Anantalingeshwar, Nepal",Anantalingeshwar,27.6694454,85.385985,3.3,30,3,6,4,14,3.3,42,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Aesamari Sattal,Coffee shop,Coffee shop,"MCCH+9J5, Bhaktapur 44800, Nepal",Bhaktapur,27.6708855,85.4290938,5,1,0,0,0,0,1,105,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Agleshwori Laxmi Vojanalays and Khaja Ghar,Asian restaurant,Asian restaurant,"M9FC+GR2, Araniko Highway, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.6737968,85.3720042,3.2,21,0,4,9,8,3.2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Airport A-One Sekuwa Corner,Barbecue restaurant,Barbecue restaurant,"M9FC+PH8, Araniko Highway, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.674294,85.371442,4.4,14,0,0,2,5,4.4,92,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,
AJ Cafeteria,Cafe,Cafe,"MCF5+GWG, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.673825,85.4098184,5,1,0,0,0,0,1,94.5,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,
Ajima cafe,Coffee shop,Coffee shop,"M9MQ+X3C, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6849416,85.3876473,4.5,15,0,2,0,2,4.5,91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Ajima cafe,Restaurant,Restaurant,"MCCG+86V, Bhaktapur 44800, Nepal",Bhaktapur,27.670873,85.4255394,4.8,25,0,0,1,9,15,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aju Bakery And Gift Shop,Bakery,Bakery,"Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6749176,85.3653099,3.2,16,2,4,3,3,3.2,94.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Akarshan Cafe,Cafe,Cafe,"MC7F+PWH, Suryabinayak 44800, Nepal",Suryabinayak,27.6643186,85.4248565,4.8,6,0,0,0,2,4,77,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,
Akleshwori Laxmi Bhojanalaya,Bar,Bar,"M9GF+JP4, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6765033,85.3743339,4.4,11,0,0,3,1,4.4,91,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
Alex and Aliz Snooker House,Sports bar,Sports bar,"Kamerotar Height, Bhaktapur 44800, Nepal",Bhaktapur,27.6784628,85.3922811,3.4,18,0,6,3,5,3.4,71,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
Alfa home,Coffee shop,Coffee shop,"JCXX+CFM, Suryabinayak, Nepal",Suryabinayak,27.6485793,85.448664,3.8,14,0,1,4,7,2,63,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
ALIEN RESTRO & BAR,Restaurant,Restaurant,"MFW7+7H5, Nagarkot Road, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,27.6956374,85.4639866,4.3,25,1,2,2,4,4.3,70,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,
Alisha Fast Food,Restaurant,Restaurant,"M9GG+Q47, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6769046,85.3752966,3.1,19,3,4,6,1,3.1,105,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Alphabet Pizzeria,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6722963,85.4241239,4,5,0,0,1,3,1,74.5,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,
ALX VARIETY FOOD,Restaurant,Restaurant,"Variety Food, New thimi ALX, Bhaktapur 44800, Nepal",Bhaktapur,27.6729441,85.3842916,3.4,20,0,5,6,6,3.4,94.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,
Amarsinghchowk Hotel,Coffee shop,Coffee shop,"P92P+M63, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.7015551,85.3855875,4.4,10,0,0,2,2,4.4,77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Amity Tea & Coffee Corner,Coffee shop,Coffee shop,"MCCH+436, Pottery Square Road, Bhaktapur 44800, Nepal",Bhaktapur,27.67029,85.42765,5,3,0,0,0,1,2,105,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,
Amrit Khaja Ghar,Fast food restaurant,Fast food restaurant,"M97R+MVV, Anantalingeshwar, Nepal",Anantalingeshwar,27.6645726,85.3922817,4.1,17,0,3,3,1,4.1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anil Newari Khajaghar,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6759361,85.4229454,4.6,227,0,0,14,97,116,84,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
Anju Store,Coffee shop,Coffee shop,"MC8F+CG9, गःपलि मार्ग, Suryabinayak 44800, Nepal",Suryabinayak,27.6659972,85.4238661,1,2,1,1,0,0,0,98,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,
Antarikshya Stick Food,Fast food restaurant,Fast food restaurant,"MCF3+PV7, Bhaktapur 44800, Nepal",Bhaktapur,27.6742943,85.4046743,3.9,380,0,8,99,204,69,98,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Anup Tea Shop,Bakery,Bakery,"MFHJ+CH3, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,27.6785213,85.481423,3.4,10,0,4,2,0,3.4,105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anush khaja ghar,Bakery,Bakery,"M9MR+CFP, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6835895,85.3912925,3.7,21,0,6,3,4,3.7,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aone Sekuwa and Fastfood Pvt.Ltd.,Restaurant,Restaurant,"Madhyapur Thimi -3, Nepal",Madhyapur Thimi,27.6761381,85.3743183,4.3,16,0,0,4,3,4.3,91,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,
Apsara tea pasal,Coffee shop,Coffee shop,"M9WG+775, Link Rd gothatar sangam chowk, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.695699,85.375817,3.3,23,5,2,5,4,3.3,98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Arabica coffee Radhe Radhe,Coffee shop,Coffee shop,"Radhe Radhe, Bhaktapur 44800, Nepal",Bhaktapur,27.6763531,85.3981224,5,1,0,0,0,0,1,105,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,
Araniko Khaja Ghar,Fast food restaurant,Fast food restaurant,"बाराहीस्थान-१४, बाराहीस्थान मार्ग, Suryabinayak 44800, Nepal",Suryabinayak,27.6663379,85.4234822,4.5,2,0,0,0,1,1,87.5,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,
Araniko Village Resort,Cottage rental,Cottage rental,"Araniko Highway Basghari, Bhaktapur 44806, Nepal",Bhaktapur,27.6574907,85.4540373,5,2,0,0,0,1,1,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
