name,lat,lng,category,subcategory_weight,final_weight,rank,filled_rank
Jagriti School,27.6725807,85.4269453,Government school,1.0,0.3666666666966667,10,10.0
Nagadesh Government School,27.6845709,85.383309,Government school,1.0,0.34523809524957483,28,28.0
Mahendra Shanti School,27.6621793,85.3695434,Government school,1.0,0.34782608697038436,23,23.0
Mahendragram Higher Secondary School,27.6824797,85.4787346,Government school,1.0,0.3484848484993113,22,22.0
khyaju,27.6551008,85.4404492,Government school,1.0,0.3492063492214664,21,21.0
Shree Aazad Secondary School,27.6869266,85.4272503,Government school,1.0,0.35714285716496597,14,14.0
Subarneshwor Basic School,27.6620295,85.4119242,Government school,1.0,0.3666666666966667,10,10.0
Local library,27.6840589,85.4845907,Children's library,0.5,0.5,1,1.0
Prabhat School,27.6757616,85.4306625,Combined primary and secondary school,0.7,0.28095238099319725,7,7.0
शान्ति - निकेतन अावसीय माघ्यमिक विद्यालय,27.6670023,85.4164833,Combined primary and secondary school,0.7,0.2410852713254011,43,43.0
Bhaktapur Bartending & Barista,27.6653251,85.4254639,Bartending school,0.8,0.47289717318563557,58,58.0
Doraemon Pre School,27.6451028,85.4427153,Elementary school,0.5,0.5,1,1.0
Shanti Bhairab Basic School,27.6540003,85.4538616,Elementary school,0.5,0.20370370373662552,9,9.0
National Basic school worlang,27.6625397,85.4376381,Elementary school,0.5,0.1944444444699074,12,12.0
Bhim Aadarsha Basic School,27.6692042,85.4397979,Elementary school,0.5,0.19230769233136094,13,13.0
Shree Bharati Primary School,27.6687,85.429643,Elementary school,0.5,0.186274509822376,17,17.0
Ganesh school,27.6956945,85.4347373,Elementary school,0.5,0.5,1,1.0
RHOMBUS NATIONAL SCHOOL,27.6684703,85.4495995,Elementary school,0.5,0.5,1,1.0
Little Souls Child care and Montessori School,27.6701928,85.4042687,Elementary school,0.5,0.20833333336979165,8,8.0
Shree Katunje elementary school,27.6644992,85.4092605,Elementary school,0.5,0.5,1,1.0
Himalayan Academy Boarding School,27.6755699,85.4171709,Elementary school,0.5,0.1851851852026749,18,18.0
Vinayak Saraswoti School,27.6929298,85.4062717,Elementary school,0.5,0.5,1,1.0
"Khadka Deal,Duwakot 1",27.690913,85.4117608,Elementary school,0.5,0.23333333338666665,5,5.0
Amarjyoti Montessori,27.6751161,85.4381742,Elementary school,0.5,0.21428571432653062,7,7.0
Amarjyoti Gyankunja,27.6754056,85.438107,Elementary school,0.5,0.1944444444699074,12,12.0
Parhibhara Academy,27.6712111,85.4006973,Elementary school,0.5,0.20370370373662552,9,9.0
Gyan Sagar Education Academy,27.6714898,85.4222332,Technical school,0.5,0.1774193548491155,31,31.0
Bagiswori College,27.675307,85.4390974,University,1.0,0.6628063998706811,5,5.0
Nepal Innovation Centre,27.6709235,85.4363431,University,1.0,0.4444444445185185,3,3.0
Khec library,27.6709871,85.4392,University,1.0,0.44317174609447524,5,5.0
Saraswathi Vidyagraha,27.6757599,85.4362276,University,1.0,0.3888888889351852,6,6.0
Sajita majhi,27.6728868,85.4039087,University,1.0,0.35416666668619795,16,16.0
Sharada Campus,27.6796905,85.4445284,University,1.0,0.4876161905596604,3,3.0
Bhaktapur Multiple Campus,27.6691024,85.4208909,University,1.0,0.6973895703800631,8,8.0
Nepal Vocational Academy,27.6759344,85.4358982,Training center,0.5,0.5863434920822838,1,1.0
Specialty Barista Training (SBT),27.6713414,85.4212691,Training center,0.5,0.5744459161471012,2,2.0
Luniva Barista Training Institute,27.6748183,85.4313468,Training center,0.5,0.38937512245886063,3,3.0
Pioneer Training Centre,27.6734435,85.4244025,Training center,0.5,0.2500000000625,4,4.0
CETSC - License Trial & Operator Training Center,27.6767868,85.4075952,Training center,0.5,0.44515809633575376,12,12.0
Vygotsky Edu Center,27.6642655,85.4294771,Training center,0.5,0.22944625586351788,17,17.0
Dreams Animation Academy & Studios,27.6674822,85.426961,Training center,0.5,0.41902652871795637,20,20.0
Unique Japanese Language School,27.6659563,85.42533,Training center,0.5,0.23206063495077153,15,15.0
Techcare Chip Level Repairing and Training Center,27.6698082,85.4105266,Training center,0.5,0.28774169005780087,16,16.0
Sita Ram Tamakhu,27.6693527,85.4283605,Training center,0.5,0.1770833333434245,32,32.0
Khwopa Fashion Instutute,27.666577,85.425133,Training center,0.5,0.1767676767774717,33,33.0
"Suraj Naga, Lakolachhen",27.6693099,85.4284764,Training center,0.5,0.175000000008125,40,40.0
Saraswati English School,27.675735,85.4362819,Middle school,0.7,0.2484848484993113,22,22.0
Students' Academy,27.6652974,85.4198732,Middle school,0.7,0.2541666666861979,16,16.0
Image secondary school,27.6679048,85.4361339,Middle school,0.7,0.2541666666861979,16,16.0
Ruby Valley School,27.6635041,85.4269349,Middle school,0.7,0.2611111111365741,12,12.0
Little Garden English Secondary School,27.6581203,85.4121137,Middle school,0.7,0.4000000000833333,2,2.0
Unity english secondary school,27.6623541,85.409234,Middle school,0.7,0.31666666672916666,4,4.0
St johns English boarding school,27.6697355,85.4065883,Middle school,0.7,0.2541666666861979,16,16.0
binodtamang,27.6575662,85.4259582,Middle school,0.7,0.2703703704032922,9,9.0
Prowess Academy English Secondary School,27.667697,85.4380207,Middle school,0.7,0.2508771929990766,19,19.0
Shree Ganesh Basic School,27.689543,85.4085753,Middle school,0.7,0.34444444451851847,3,3.0
Tejaswee Pathshala,27.6699275,85.4097536,Middle school,0.7,0.25185185186934156,18,18.0
"Dekocha, Bhaktpur",27.670994,85.4298429,Middle school,0.7,0.2703703704032922,9,9.0
Gatthaghar,27.6709997,85.4298171,Middle school,0.7,0.2541666666861979,16,16.0
First step Montessori,27.6605568,85.4385723,Preschool,0.5,0.3462033764177188,3,3.0
"EuroKids, Suryabinayak",27.6635858,85.4356702,Preschool,0.5,0.3615973446695088,4,4.0
We Kids School,27.6612573,85.4205433,Preschool,0.5,0.42585478271431443,5,5.0
Morning Glory Kindergarten,27.6703865,85.4415235,Preschool,0.5,0.2900471958189093,9,9.0
Child Heaven Pre-School,27.6691274,85.4247273,Preschool,0.5,0.2431717460711419,10,10.0
Seraph World Pre - School,27.6708385,85.4221894,Preschool,0.5,0.24014144303838705,11,11.0
Anshumali Pre-Primary School,27.6648316,85.4117597,Preschool,0.5,0.2628700430357744,12,12.0
The Great Beginning Education Foundation (Pre School),27.6669158,85.4276983,Preschool,0.5,0.186274509822376,17,17.0
Shubharambha Pre School,27.6792107,85.4047827,Preschool,0.5,0.2854268752409445,18,18.0
Kamal Binayak Kinder School,27.6781339,85.4375155,Preschool,0.5,0.18421052633240997,19,19.0
Amarawati Modern Academy,27.6827505,85.4497263,Preschool,0.5,0.5,1,1.0
Smart kids Montessori,27.6948454,85.4402371,Preschool,0.5,0.33333333341666666,2,2.0
Shree Bal Sewak Lower Sec. School,27.6693729,85.4339686,Preschool,0.5,0.19696969699724517,11,11.0
