name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,imageUrl,url
Re-Smile Dental Clinic,Dental clinic,Dental clinic,"MCHQ+7GV, Pipeline Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6782342,85.4387945,4.8,9,0,0,0,0,0,77.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwCLm--QrS1UlqiMLgmmcvMRikOspiUFUtvHTwpE0Kt1HtIddQTlgTK_Sl1BGYHl7KpHTanuV45v8zMGDgk0DPV0hdad8NqJxKj-1EOBXy11amsqDO6hjD-IlxsAOdxhbxxzdA3MMYuo6c=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Re-Smile%20Dental%20Clinic&query_place_id=ChIJ9ZQwJwAF6zkRBPIIV3SJef8
Barahi dental clinic,Dental clinic,Dental clinic,"MCFR+HPH, Bhaktapur 44800, Nepal",Bhaktapur,27.6739362,85.441863,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=obB9XhYhb28IEJXJ4J-YdQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=18.588728&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Barahi%20dental%20clinic&query_place_id=ChIJAUhosLoF6zkREATisPnXqeo
Bhaktapur Swastha Clinic,Dental clinic,Dental clinic,"MC8Q+F2G, Bhaktapur 44800, Nepal",Bhaktapur,27.6661939,85.4375827,0.0,0,0,0,0,0,0,91.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxNtUBqvaVpb3g-wMtLeOSbUUR7yV8jd2WHCGUu60epXfAcG0VW969ol4ptH1aItuKYEYze_ZBHflCV7KMZiMpUiZX1o6rIbKs5tU3FpYIogQ5Z25d3tcDL3AqbGuBKwDUqEs_8=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Bhaktapur%20Swastha%20Clinic&query_place_id=ChIJE7a5Mqsa6zkRnAYk8zapjNo
Milestone dental clinic,Dental clinic,Dental clinic,"MCFR+F3Q, Chyamasing degaina, Bhaktapur 44800, Nepal",Bhaktapur,27.6737075,85.440246,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dRn_FWyFmyDrXl8T6M7c-A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=314.4782&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Milestone%20dental%20clinic&query_place_id=ChIJfZWaBAAF6zkRMTWDVUJw-3U
Bhishan Dental Clinic Pvt.Ltd,Dental clinic,Dental clinic,"Srijananagar Suryabinayak -5, Bhaktapur 44800, Nepal",Bhaktapur,27.6722659,85.4055761,5.0,7,0,0,0,0,0,84.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz9yFX43w3V4eKb2R6u0rTBHr3XHMxgFM44AHj469bZYi7YWCuNeHG453oGhYKorDWxEBpPGtzB5luf-PYXCA6B1upPRrmwRwL9WI5tqg5y_Gbgzctd4TVxPjujjrp5dsfRipo=w408-h725-k-no,https://www.google.com/maps/search/?api=1&query=Bhishan%20Dental%20Clinic%20Pvt.Ltd&query_place_id=ChIJpWH0nOob6zkRLoLe8CPwbzY
Crystal Dental Hospital- Srijananagar Branch,Dental clinic,Dental clinic,"MCF3+7J, Bhaktapur 44800, Nepal",Bhaktapur,27.6731875,85.4040625,4.0,1,0,0,0,0,0,60.0,https://lh3.googleusercontent.com/p/AF1QipNuFKCt9wMrNoUCRRvhf8FggCsL7lftrfYzDNy9=w408-h254-k-no,https://www.google.com/maps/search/?api=1&query=Crystal%20Dental%20Hospital-%20Srijananagar%20Branch&query_place_id=ChIJH4kHKkcb6zkRaXsnNm4FBp0
Creative Oral Dental Care,Dental clinic,Dental clinic,"MCC4+WH3, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.672262,85.4064366,0.0,0,0,0,0,0,0,77.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwFr3GS255fx2XI2EX44S3___9whlJ8gZEB1RPeea8BStgZkPe2p_pxb3MM5oA5CmYkw6WP8ZdVqKbuvetv658285zBuI_ZhkvDAzSnxmbFI781yogd5H9Tcr1pRpxsEDnBMpg=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Creative%20Oral%20Dental%20Care&query_place_id=ChIJUyw-JAAb6zkRl7s4PeTJd50
Everest Dental Clinic,Dental clinic,Dental clinic,"Changunarayan Road, Changunarayan, Nepal",Changunarayan,27.6842671,85.4113814,5.0,1,0,0,0,0,0,84.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxdST48CEjW84Ck3SXUI08Vu1AhsvdZv2b003wfR7zIbN7RXAMz0bcLIme_Yqa859Swi6fZZgrws7dj3wOX2tyFonQiZBz8j4FO1xXFzLmuzsID1KmCBdODTbT9l8by6VAhaUZM=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Everest%20Dental%20Clinic&query_place_id=ChIJdVc8YH8b6zkR2VU5XLXTVlw
AARATI PHARMACY,Dental clinic,Dental clinic,,,27.6953638,85.4105258,0.0,0,0,0,0,0,0,84.0,,https://www.google.com/maps/search/?api=1&query=AARATI%20PHARMACY&query_place_id=ChIJxbRdh4WPVq4RG8MWW_rRplc
Mid Valley Dental Care,Dental clinic,Dental clinic,,,27.6742443,85.4384739,0.0,0,0,0,0,0,0,83.0,https://lh3.googleusercontent.com/p/AF1QipOi9OW3QvZfkpPxF1BYBE0yWz2-ye6VZKdXrQ7Z=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Mid%20Valley%20Dental%20Care&query_place_id=ChIJNeHXMr7tikIRxwwIsMQdrhY
Janajyoti Library जनज्योति पुस्तकालय,Public library,Public library,"Nah Pukhu, Bhaktapur 44800, Nepal",Bhaktapur,27.6736267,85.4239798,4.7,31,0,0,0,0,0,168.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhH5pz-afuqpZngCw1RzUd9UCUJ0Oehg6RUNUyn2V5wHEz1PGB7QjNhYnRtmKIUKmW1_-E9kFGm07dTNOhov5nSoU9s6Ef3Td7GfkTuigILyGhZoYU2I0AQxKEn9Y8p1plaFDc94hlfTveSfbxCldcxHk2EoLbTCeUFOWxi9f7mLoNrG8dLPN5Zs6QFqnH1fd9vhGw=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Janajyoti%20Library%20%E0%A4%9C%E0%A4%A8%E0%A4%9C%E0%A5%8D%E0%A4%AF%E0%A5%8B%E0%A4%A4%E0%A4%BF%20%E0%A4%AA%E0%A5%81%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%95%E0%A4%BE%E0%A4%B2%E0%A4%AF&query_place_id=ChIJbYyVx68a6zkRucQY0gvGjv8
Martyr Memorial Library,Public library,Public library,"MCCJ+5VW, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6704964,85.4321917,5.0,1,0,0,0,0,0,108.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFlpLkYRJPmsL5_69KFauVkJQ08rF0b1FsRmJ05KMs29bFeuKRMbYzenZzimDJfBcqsnBMz-Ke7RMKD0ZCHqXP8XBPEoHsBtEHI7okst5IbNF9QZYgAT2EWggBR38bKHxtKDqnkzBRfnpG_xoQN5RZ6gXX1ZCFXIqzAtpfjszuWSeHbuytEZiNl2VhgpRat4P7b6A=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Martyr%20Memorial%20Library&query_place_id=ChIJfYwGg64a6zkR8a7aPmJyzP8
Yug Vijaya Public Library,Public library,Public library,"MCFP+C5W, Dattatraya Square Marg, Bhaktapur 44800, Nepal",Bhaktapur,27.6736015,85.4354604,2.0,2,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHPSP-ubYIZ7yUcIt_iPY7JkWDd8Kpof7cQF6T14QGXiQHKhde_mbGpJQp89qKQPpe9Sh8a0CFxrokSy9UYHIcYTON2GRgVct1MhLlL2IYwaBBO5GOA9VCKeJjL4fnZ4sEds5CRYfioC4YTBAg5s6CAZkah5HVF5CFRqKmKK4N-s46-BfLsQIRm59I3x4_ofJbAb4Y=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Yug%20Vijaya%20Public%20Library&query_place_id=ChIJPcZvea0a6zkROPKwkrJ6p1M
Nawa Chatrodaya Library,Public library,Public library,"M9MP+7V8, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.683151,85.3871977,2.1,7,0,0,0,0,0,42.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vHWTzlFJq86bZR8Bn4ckvA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=12.063931&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Nawa%20Chatrodaya%20Library&query_place_id=ChIJT1yl7Gca6zkR0B9a3rylty8
Saubhagya Pustakalaya (𑐳𑑁𑐨𑐵𑐐𑑂𑐫 𑐳𑐦𑐹𑐎𑐸𑐠𑐶),Public library,Public library,"M9GP+X8C, ठिमी, 44800, Nepal",Madhyapur Thimi,27.67743,85.3857699,4.7,3,0,0,0,0,0,105.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhH6FXpmqY8pO4WkSOpCNKMg_Od196Wibt3MEANLfHZUl5kF31O6wBHYWNe5eY-SdSIBCom9x_WkABy8ya49Vvjgz7Nkyh5GnNcu2GGs3DjWmyo-5gx7zmq8A5_4nMZM_iHCjPp32cbLmtdZzfCn5pyCjNFJNfzGfEmZxmFQz38DHCc0xXrEV2wSEpjJqcJTLd_kvA=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Saubhagya%20Pustakalaya%20(%F0%91%90%B3%F0%91%91%81%F0%91%90%A8%F0%91%90%B5%F0%91%90%90%F0%91%91%82%F0%91%90%AB%20%F0%91%90%B3%F0%91%90%A6%F0%91%90%B9%F0%91%90%8E%F0%91%90%B8%F0%91%90%A0%F0%91%90%B6)&query_place_id=ChIJHVMHWW8a6zkRoa1PxDPtzoQ
श्री जन जागृति बाचनालय,Public library,Public library,"M9GP+6CM, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.675592,85.386033,5.0,1,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG-jN7PT5SuSLK2vsvI4OdLur8nFaI8EdkyPqVXolFG_T1gV5FeG37_oEy0icMFLsCcgwisR4Zar1w7jiCBtQV6fuUzxDCGfdlJvP32HuXLWizCzdUtY-kLvTdBCPu_cbNfx7ZHXB4xCFoM2DxOyfmjavHvwMxr5jc-q6mqYcpScMp9X1XppjbzfKIx0YeerntXRA=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80%20%E0%A4%9C%E0%A4%A8%20%E0%A4%9C%E0%A4%BE%E0%A4%97%E0%A5%83%E0%A4%A4%E0%A4%BF%20%E0%A4%AC%E0%A4%BE%E0%A4%9A%E0%A4%A8%E0%A4%BE%E0%A4%B2%E0%A4%AF&query_place_id=ChIJOx1egGUa6zkRcJBBDEf8oe8
Devitar Library,Public library,Public library,"MF47+V3Q, Suryabinayak, Nepal",Suryabinayak,27.6572124,85.4627423,5.0,1,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FGxTNSV7vRZzLN-aCYPckQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=327.31137&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Devitar%20Library&query_place_id=ChIJCR_Lw6gP6zkRmS0kfvDhnjo
Garima Library,Public library,Public library,"MFQ3+FJ5, Nagarkot Road, Changunarayan, Nepal",Changunarayan,27.6886344,85.4540977,0.0,0,0,0,0,0,0,63.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mBKuB9xxjxat84s08z6A9A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=2.3680632&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Garima%20Library&query_place_id=ChIJsW-EOz8F6zkRgax6ukLbKi0
