name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,imageUrl,url
Annapurna Multiple Co-Op,Cooperative bank,Cooperative bank,"M9FF+QC9, Araniko Highway, Gatthaghar 44600, Nepal",Gatthaghar,27.6744163,85.3736109,4.0,2,0,0,1,0,1,43.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxxotiusujpFy0Larl1uufZGN5gijUGmTOrS2CpUciHzXssGzIkgtd1lKTfwJzJYe8uM7WOk6WlLNhm73aLIPPsR2wOtLnyuaBrT9ncBniwQUB-HKJuaQO0BQVjd3bIxCfTt4zwoA=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Annapurna%20Multiple%20Co-Op&query_place_id=ChIJndUd9xIa6zkRI2KbO5gsZ8E
Siddhikali Saving & Credit Co operative Ltd. सिद्धिकाली बचत तथा ऋण सहकारी संस्था लिमिटेड,Cooperative bank,Cooperative bank,"Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6806014,85.3849576,5.0,2,0,0,0,0,0,45.0,https://lh3.googleusercontent.com/p/AF1QipPR7_ji15WhO5MRPNX_U35WL0YDVNi6dUX_r73g=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Siddhikali%20Saving%20%26%20Credit%20Co%20operative%20Ltd.%20%E0%A4%B8%E0%A4%BF%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%BF%E0%A4%95%E0%A4%BE%E0%A4%B2%E0%A5%80%20%E0%A4%AC%E0%A4%9A%E0%A4%A4%20%E0%A4%A4%E0%A4%A5%E0%A4%BE%20%E0%A4%8B%E0%A4%A3%20%E0%A4%B8%E0%A4%B9%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%80%20%E0%A4%B8%E0%A4%82%E0%A4%B8%E0%A5%8D%E0%A4%A5%E0%A4%BE%20%E0%A4%B2%E0%A4%BF%E0%A4%AE%E0%A4%BF%E0%A4%9F%E0%A5%87%E0%A4%A1&query_place_id=ChIJTXKZajsb6zkRblbsglawIzw
Upakar SACCOS,Cooperative bank,Cooperative bank,"M9MP+33G Bahakha Bazar, Bhaktapur Road, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.6826758,85.3852013,5.0,1,0,0,0,0,1,42.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEb2Yy7yeZ2W2dfShqkrsBCnBUsFdDLHhc9Rae4qqCEQK8-bLufo8Hpim4rCIT447BB0DGN7eUxGSdWmsoRwi33EEHQHaT6eYj60xaKXag4ESoycGMF-xVs-_2McDSVCnka_ZmwTBjFsTWuP8I8ItY87eZ2ptrcFKtMPsAsP_1dC_RzUPWwO75b2_etCep0iEtquQ=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Upakar%20SACCOS&query_place_id=ChIJGf7XbGga6zkRvZ0e2ifH3H0
Jyotipunja Multipurpose Co-op,Cooperative bank,Cooperative bank,"M9XF+75R, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.6982433,85.3728828,5.0,2,0,0,0,0,2,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gXx0baQMok27J2ypU74nqw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=173.42674&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Jyotipunja%20Multipurpose%20Co-op&query_place_id=ChIJF1qyATca6zkRElcynBxgRig
Bhaktapur District SACCOS,Cooperative bank,Cooperative bank,"MC7H+WWC, Suryabinayak 44800, Nepal",Suryabinayak,27.6641754,85.4295811,5.0,2,0,0,0,0,0,42.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxC0Q2lFfYqYt23TknH_oeSIk1udTfkU9lNPBNUzLCBsajD653ojFjuZk51nSnTTlYq2GEOVJuJVWX-xa3HrWBHgmnmqqeXj2JPLmS3Kv-7MZ0RgbXSKnYbEeYXHisGPad7FuDcQQ=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Bhaktapur%20District%20SACCOS&query_place_id=ChIJr-iFs6ca6zkRZTll9m3THBs
Kuber Saccos,Cooperative bank,Cooperative bank,"101 Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6675869,85.423819,5.0,2,0,0,0,0,0,36.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhExyILz_1E9zsNGz3SwewlrAzltQsB80rUwr8bQ8WiafJhN-nv1gQIlIkzZfo5-Md-YhkxW_7xziGGiIykKlFTcli-FWrNvEqX_4LmNkgLEuqKUw_YS9tpIBL6GDxKiZjBdFSM_vIe2wby5qfdC9nZ_wESFCYlZ93h-8kMceGM9uhLpR23dyNvARVymUeeCX89GFyk=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Kuber%20Saccos&query_place_id=ChIJ18sSnKYa6zkR1oz3HzsTzTs
"Shankhadhar Saccos (SHANKHADHAR SAVINGS AND CREDIT CO-OPERATIVE LTD,)",Cooperative bank,Cooperative bank,"M9FP+69F, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6730676,85.3859352,0.0,0,0,0,0,0,0,42.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qBJyEiDdXo_O6ssve3hIwg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=179.06242&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Shankhadhar%20Saccos%20(SHANKHADHAR%20SAVINGS%20AND%20CREDIT%20CO-OPERATIVE%20LTD%2C)&query_place_id=ChIJ845xNSgb6zkRZnq4euRIte4
"Takuba Chowk, Madhyapur Thimi-5 Bhaktapur",Cooperative bank,Cooperative bank,"M9FR+CM5, Araniko Highway, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.673714,85.3915723,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VTtoSQSm5Xts-e0L2FMzPw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=179.7483&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Takuba%20Chowk%2C%20Madhyapur%20Thimi-5%20Bhaktapur&query_place_id=ChIJjwQoegAb6zkR4-mCITfktmM
chitizmultipurposesaving,Cooperative bank,Cooperative bank,"MC7C+99X, Bhaktapur 44800, Nepal",Bhaktapur,27.6634863,85.4209781,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BW744HdfpLR1P92QksXL1g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=159.08418&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=chitizmultipurposesaving&query_place_id=ChIJN2aJ-OQb6zkRyq7_ViO-DGM
Jimmewari Multipurpose Co-operative Ltd.,Cooperative bank,Cooperative bank,"Bhaktapur 44600, Nepal",Bhaktapur,27.6657895,85.4212289,3.0,1,0,0,1,0,0,40.0,https://lh3.googleusercontent.com/p/AF1QipPMsDzCt9Hx1PFiSTFSdplCctI4FM-UYmeFaR_l=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Jimmewari%20Multipurpose%20Co-operative%20Ltd.&query_place_id=ChIJ8ydlzx4b6zkRKup_2Dpbe2U
