lat,lng,cafe_weight,_row_index
27.6735042,85.3854631,10.6153,0
27.6813874,85.376168,2.2558,1
27.6962121,85.3769261,5.2772,2
27.6976597,85.3777113,1.8902,3
27.6718977,85.438394,3.9371,4
27.6741774,85.3948623,1.4245,5
27.6666523,85.4270263,7.6176,6
27.6844567,85.4109168,4.8195,7
27.6784061,85.3863721,4.9335,8
27.6742191,85.3899348,1.6949,9
27.6712166,85.4378953,3.3635,10
27.6688119,85.4279565,7.7132,11
27.6756092,85.3975034,18.4162,12
27.6951836,85.3705747,2.2298,13
27.6714348,85.3859299,6.5878,14
27.6731697,85.3815567,1.7128,15
27.6692427,85.4052233,2.3933,16
27.673825,85.4098184,7.6449,17
27.6956374,85.4639866,2.6872,18
27.6729441,85.3842916,6.5265,19
27.6706293,85.376281,2.5448,20
27.6621394,85.4261398,6.6507,21
27.6750932,85.3986352,10.3474,22
27.6652493,85.4270454,5.689,23
27.695915,85.4641851,2.2399,24
27.6768654,85.3919935,2.7864,25
27.6703549,85.4310597,6.1309,26
27.6753687,85.3745365,11.0654,27
27.6733981,85.3743297,12.6484,28
27.6758263,85.3658754,5.8104,29
27.6630991,85.4240961,6.3868,30
27.67178,85.3647074,4.06,31
27.7008293,85.3807701,1.6901,32
27.6715487,85.4283565,11.4376,33
27.6717122,85.3780744,2.0902,34
27.6719045,85.4294079,18.5804,35
27.6626943,85.3848553,0.9737,36
27.6679847,85.3652219,4.8971,37
27.6773192,85.3984238,18.8417,38
27.6754327,85.3979407,20.7123,39
27.6730941,85.3863255,6.981,40
27.67656,85.377639,2.3292,41
27.6773125,85.3979531,18.6302,42
27.6734265,85.4311372,7.0083,43
27.6768247,85.3752789,6.9612,44
27.6443198,85.4101158,0.8814,45
27.6689225,85.4049667,2.3797,46
27.7002138,85.3655298,1.2276,47
27.6729471,85.3906084,1.5726,48
27.6629221,85.3785616,1.1447,49
27.6694454,85.385985,6.9503,50
27.6708855,85.4290938,18.9221,51
27.6737968,85.3720042,11.3681,52
27.674294,85.371442,8.4003,53
27.6849416,85.3876473,6.1163,54
27.670873,85.4255394,7.5078,55
27.6749176,85.3653099,8.9176,56
27.6643186,85.4248565,9.3191,57
27.6765033,85.3743339,4.9008,58
27.6784628,85.3922811,2.644,59
27.6485793,85.448664,1.3312,60
27.6769046,85.3752966,6.7265,61
27.6722963,85.4241239,9.4937,62
27.7015551,85.3855875,3.1295,63
27.67029,85.42765,11.0162,64
27.6645726,85.3922817,2.6928,65
27.6759361,85.4229454,2.5275,66
27.6659972,85.4238661,9.7463,67
27.6742943,85.4046743,3.5728,68
27.6785213,85.481423,0.7658,69
27.6835895,85.3912925,3.5937,70
27.6761381,85.3743183,6.9611,71
27.695699,85.375817,6.0984,72
27.6763531,85.3981224,21.006,73
27.6663379,85.4234822,10.1222,74
27.6574907,85.4540373,1.138,75
27.6714981,85.4223347,10.8334,76
27.6811319,85.3882329,5.5854,77
27.6943257,85.3773779,2.2847,78
27.669833,85.3859192,6.9327,79
27.6717925,85.4324033,5.0484,80
27.6708943,85.3762267,2.5448,81
27.6776861,85.3978895,15.4385,82
27.6768192,85.4337163,3.0014,83
27.675937,85.433786,4.6311,84
27.6844657,85.3877447,7.0039,85
27.6438854,85.463626,1.6097,86
27.6697631,85.426554,6.5495,87
27.673699,85.3732309,16.2516,88
27.6652101,85.4272984,5.6627,89
27.6692062,85.3856611,6.7615,90
27.6939988,85.3745735,2.9284,91
27.6612252,85.369799,1.8172,92
27.6712877,85.429486,20.5282,93
27.6691526,85.4435736,0.6813,94
27.7015916,85.3807886,1.7082,95
27.6654851,85.3658945,5.7138,96
27.6698558,85.4377501,1.8652,97
27.6989739,85.3740729,4.8628,98
27.6726941,85.4249557,9.6985,99
27.6724496,85.429542,12.9062,100
27.6743794,85.3707034,7.8834,101
27.6737961,85.4238925,3.6032,102
27.6748129,85.4278108,4.7797,103
27.6728194,85.4293616,12.7778,104
27.6887846,85.4573773,1.0355,105
27.6774375,85.3978125,17.0225,106
27.6634556,85.3782481,1.0722,107
27.6618794,85.3813496,2.2329,108
27.6674592,85.3656799,5.7203,109
27.6704794,85.3649762,4.3574,110
27.6764901,85.3857096,3.4691,111
27.6400904,85.4372728,1.3047,112
27.7085611,85.4396613,0.8402,113
27.6590779,85.4283757,3.4024,114
27.6695821,85.3728553,1.4511,115
27.6695875,85.4263594,6.2975,116
27.6865656,85.4590553,1.566,117
27.6575716,85.4492298,0.5625,118
27.6956404,85.3757327,6.3891,119
27.6661498,85.4222161,6.3503,120
27.671011,85.4257652,7.7722,121
27.6724375,85.4049375,5.5552,122
27.7132229,85.4127695,1.2239,123
